EventID,MovieName,ExtractionType,EventDescription,Start,End,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Aligned_Event_Number,Comments,Normalised Video Clip Index,Normalised Plot Sentence Index
153,Flight(2012),Machine Learning Extracted Event,"They head towards a church, sitting on an expanse of open land.",0:24:38,0:24:45,,,7,,,63,Success,,2,,,
154,Flight(2012),Machine Learning Extracted Event,"SOMEONE steers the plane away from the church's steeple,",0:24:45,0:24:51,,,6,,,56,Success,,2,,,
155,Flight(2012),Machine Learning Extracted Event,but the wing grazes the top.,0:24:48,0:24:53,,,5,,,28,Success,,2,,,
156,Flight(2012),Machine Learning Extracted Event,"The plane hits the ground. SOMEONE flies past the cockpit, as SOMEONE bangs his head and passes out.",0:25:04,0:25:13,,,9,,,100,Success,,1,,,
157,Flight(2012),Machine Learning Extracted Event,"Through blurred vision, SOMEONE sees SOMEONE leaning to the side in his seat, as he is dragged out.",0:25:11,0:25:18,,,7,,,99,Success,,1,,,
158,Flight(2012),Machine Learning Extracted Event,"SOMEONE is slumped next to SOMEONE's still body, her head crushed by a collapsed bulkhead.",0:25:27,0:25:33,,,6,,,90,Success,,1,,,
159,Flight(2012),Machine Learning Extracted Event,"Smoke blocks SOMEONE's vision, as he is pulled away from the plane.",0:25:37,0:25:44,,,7,,,67,Success,,1,,,
160,Flight(2012),Machine Learning Extracted Event,"As people in white robes help the passengers, a fire engine arrives.",0:25:40,0:25:47,,,7,,,68,Success,,1,,,
161,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks up at a female EMT leaning over him,",0:25:57,0:26:04,,,7,,,50,Success,,1,,,
162,Flight(2012),Machine Learning Extracted Event,then turns towards the black smoke rising from the crash site.,0:26:00,0:26:07,,,7,,,62,Success,,1,,,
163,Flight(2012),Machine Learning Extracted Event,"The broken off spire from the church lies some distance away from an ambulance, as rescue workers help survivors.",0:26:05,0:26:15,,,10,,,113,Success,,1,,,
164,Flight(2012),Machine Learning Extracted Event,"In a hospital ward, SOMEONE slowly opens his right eye.",0:26:16,0:26:22,,,6,,,55,Fail,,0,,,
165,Flight(2012),Machine Learning Extracted Event,The other eye is covered by a bandage.,0:26:18,0:26:24,,,6,,,38,Success,,1,,,
166,Flight(2012),Machine Learning Extracted Event,"He sees a seated man on the TV gesturing, as rescue workers push a stretcher behind him.",0:26:24,0:26:32,,,8,,,88,Success,,1,,,
167,Flight(2012),Machine Learning Extracted Event,"The tagline reads, Breaking news. SOMEONE Hogg, South Jet 227 passenger.",0:26:29,0:26:38,,,9,,,72,Success,,1,,,
168,Flight(2012),Machine Learning Extracted Event,"A field reporter for Channel 12 News comments live from the site, as lights flicker in the background.",0:26:35,0:26:43,,,8,,,102,Success,,1,,,
169,Flight(2012),Machine Learning Extracted Event,"On TV, cell phone footage shows the descent of the plane, as it swerves and slices off the church steeple.",0:26:45,0:26:55,,,10,,,106,Success,,1,,,
170,Flight(2012),Machine Learning Extracted Event,"It glides overhead, both engines on fire, and slams down on its side, as people in white robes run for cover.",0:26:54,0:27:01,,,7,,,109,Success,,1,,,
171,Flight(2012),Machine Learning Extracted Event,"SOMEONE, his head wrapped in gauze,",0:27:08,0:27:14,,,6,,,35,Success,,1,,,
172,Flight(2012),Machine Learning Extracted Event,"watches in a daze, as the church folk stand and take in the scene from a distance,",0:27:10,0:27:18,,,8,,,82,Success,,1,,,
173,Flight(2012),Machine Learning Extracted Event,then slowly approach.,0:27:14,0:27:20,,,6,,,21,Success,,1,,,
174,Flight(2012),Machine Learning Extracted Event,"SOMEONE averts his gaze from the screen, and notices a man in the room.",0:27:21,0:27:28,,,7,,,71,Fail,,0,,,
175,Flight(2012),Machine Learning Extracted Event,"The man wears a suit with a collar open, and is staring intently at his cell phone.",0:27:26,0:27:34,,,8,,,83,Success,,1,,,
176,Flight(2012),Machine Learning Extracted Event,"SOMEONE turns, and SOMEONE smiles.",0:27:34,0:27:40,,,6,,,34,Success,,1,,,
177,Flight(2012),Machine Learning Extracted Event,"A man walks in wearing an NTSB jacket, followed by a few law officers, a nurse, and a doctor.",0:28:37,0:28:47,,,10,,,93,Fail,,0,,,
178,Flight(2012),Machine Learning Extracted Event,The NTSB officer places a recorder on SOMEONE's bed.,0:28:44,0:28:51,,,7,,,52,Fail,,0,,,
179,Flight(2012),Machine Learning Extracted Event,SOMEONE nods weakly.,0:29:17,0:29:22,,,5,,,20,Fail,,0,,,
180,Flight(2012),Machine Learning Extracted Event,The doctor leaves.,0:30:00,0:30:05,,,5,,,18,Fail,,0,,,
181,Flight(2012),Machine Learning Extracted Event,"Craig takes his recorder, and leaves with the others,",0:31:18,0:31:24,,,6,,,53,Fail,,0,,,
182,Flight(2012),Machine Learning Extracted Event,but SOMEONE stays back.,0:31:21,0:31:26,,,5,,,23,Fail,,0,,,
183,Flight(2012),Machine Learning Extracted Event,SOMEONE smiles.,0:33:03,0:33:08,,,5,,,15,Fail,,0,,,
184,Flight(2012),Machine Learning Extracted Event,He reaches for a plastic bag.,0:33:23,0:33:28,,,5,,,29,Fail,,0,,,
185,Flight(2012),Machine Learning Extracted Event,SOMEONE leaves.,0:34:15,0:34:20,,,5,,,15,Fail,,0,,,
186,Flight(2012),Machine Learning Extracted Event,"SOMEONE puts his bandaged hand to his mouth, as tears flow down his face,",0:34:19,0:34:26,,,7,,,73,Fail,,0,,,
187,Flight(2012),Machine Learning Extracted Event,"then shakes his head, and takes his cell phone from the plastic bag.",0:34:23,0:34:30,,,7,,,68,Fail,,0,,,
188,Flight(2012),Machine Learning Extracted Event,He drops the phone on his stomach.,0:34:30,0:34:36,,,6,,,34,Fail,,0,,,
189,Flight(2012),Machine Learning Extracted Event,"A heavy man with a goatee walks into the hospital, wearing Bermuda shorts and dark glasses, with earphone wires hanging on each side of his head.",0:34:36,0:34:48,,,12,,,145,Fail,,0,,,
190,Flight(2012),Machine Learning Extracted Event,"He strides through the corridors, carrying a bag in his hand, and another slung over his shoulder.",0:34:44,0:34:53,,,9,,,98,Fail,,0,,,
191,Flight(2012),Machine Learning Extracted Event,"He removes his earphones, and leans over the reception desk.",0:35:00,0:35:07,,,7,,,60,Fail,,0,,,
192,Flight(2012),Machine Learning Extracted Event,"He enters SOMEONE's room with a video camera, as a nurse helps SOMEONE from the bed, exposing his buttocks.",0:35:08,0:35:17,,,9,,,107,Fail,,0,,,
193,Flight(2012),Machine Learning Extracted Event,The nurse leaves the room.,0:35:37,0:35:42,,,5,,,26,Fail,,0,,,
194,Flight(2012),Machine Learning Extracted Event,"SOMEONE places his hand on SOMEONE's head, and leaves.",0:38:09,0:38:16,,,7,,,54,Fail,,0,,,
195,Flight(2012),Machine Learning Extracted Event,SOMEONE closes his eyes.,0:38:16,0:38:21,,,5,,,24,Fail,,0,,,
196,Flight(2012),Machine Learning Extracted Event,SOMEONE is startled awake.,0:38:23,0:38:28,,,5,,,26,Fail,,0,,,
197,Flight(2012),Machine Learning Extracted Event,"He looks around the dark room, then clicks on the light.",0:38:28,0:38:35,,,7,,,56,Fail,,0,,,
198,Flight(2012),Machine Learning Extracted Event,"He peeks into the corridor, as a nurse walks by the reception desk.",0:38:38,0:38:46,,,8,,,67,Fail,,0,,,
199,Flight(2012),Machine Learning Extracted Event,"He quickly limps down the hall, using a cane.",0:38:47,0:38:53,,,6,,,45,Success,,1,,,
200,Flight(2012),Machine Learning Extracted Event,"He stops at a door marked Stairwell, third floor, and opens it.",0:38:55,0:39:02,,,7,,,63,Success,,1,,,
201,Flight(2012),Machine Learning Extracted Event,"He sees SOMEONE sitting on the stairs, smoking a cigarette.",0:38:59,0:39:06,,,7,,,59,Fail,,0,,,
202,Flight(2012),Machine Learning Extracted Event,"She rises, to leave.",0:39:14,0:39:19,,,5,,,20,Success,,1,,,
203,Flight(2012),Machine Learning Extracted Event,She sits.,0:39:18,0:39:22,,,4,,,9,Success,,1,,,
204,Flight(2012),Machine Learning Extracted Event,"SOMEONE leans against the wall, facing her.",0:39:26,0:39:32,,,6,,,43,Success,,1,,,
205,Flight(2012),Machine Learning Extracted Event,He lights a cigarette.,0:39:29,0:39:33,,,4,,,22,Success,,1,,,
206,Flight(2012),Machine Learning Extracted Event,She shakes her head.,0:39:38,0:39:43,,,5,,,20,Success,,1,,,
207,Flight(2012),Machine Learning Extracted Event,A patient climbs the stairs.,0:39:42,0:39:48,,,6,,,28,Success,,1,,,
208,Flight(2012),Machine Learning Extracted Event,SOMEONE tosses her pack.,0:40:04,0:40:09,,,5,,,24,Fail,,0,,,
209,Flight(2012),Machine Learning Extracted Event,The gaunt man stands by his IV pole.,0:40:13,0:40:19,,,6,,,36,Fail,,0,,,
210,Flight(2012),Machine Learning Extracted Event,She shakes her head.,0:41:39,0:41:44,,,5,,,20,Fail,,0,,,
211,Flight(2012),Machine Learning Extracted Event,She glances at SOMEONE.,0:42:08,0:42:13,,,5,,,23,Fail,,0,,,
212,Flight(2012),Machine Learning Extracted Event,The bald man turns to SOMEONE.,0:42:44,0:42:50,,,6,,,30,Fail,,0,,,
213,Flight(2012),Machine Learning Extracted Event,"Cigarette hanging out of his mouth, the man picks up the IV pole and walks downstairs.",0:43:54,0:44:02,,,8,,,86,Fail,,0,,,
214,Flight(2012),Machine Learning Extracted Event,"She wipes a tear from her eye, offers a smile, then stands, and climbs up the stairs.",0:45:03,0:45:09,,,6,,,85,Fail,,0,,,
215,Flight(2012),Machine Learning Extracted Event,"A black Cadillac lurches out of the hospital parking structure, and passes the news crews parked outside.",0:45:42,0:45:52,,,10,,,105,Success,,1,,,
216,Flight(2012),Machine Learning Extracted Event,"SOMEONE opens a beer, and takes a swig.",0:45:53,0:45:59,,,6,,,39,Success,,1,,,
217,Flight(2012),Machine Learning Extracted Event,"He hands SOMEONE a package, a bundle of cash.",0:46:25,0:46:30,,,5,,,45,Success,,1,,,
218,Flight(2012),Machine Learning Extracted Event,"A car turns onto a dirt driveway and passes a sign that reads, Whitaker Crop Dusting Company.",0:46:31,0:46:39,,,8,,,93,Fail,,0,,,
219,Flight(2012),Machine Learning Extracted Event,There's a For Sale sign next to it.,0:46:37,0:46:43,,,6,,,35,Success,,1,,,
220,Flight(2012),Machine Learning Extracted Event,"The car passes a dilapidated shed on the right, and pulls up to a large, older farmhouse.",0:46:42,0:46:50,,,8,,,89,Success,,1,,,
221,Flight(2012),Machine Learning Extracted Event,SOMEONE stops the car.,0:46:47,0:46:52,,,5,,,22,Success,,1,,,
222,Flight(2012),Machine Learning Extracted Event,"SOMEONE places a bag beside the door, and reaches above one of the wooden posts supporting the veranda roof.",0:46:53,0:47:01,,,8,,,108,Success,,1,,,
223,Flight(2012),Machine Learning Extracted Event,He grabs a hidden key.,0:46:58,0:47:03,,,5,,,22,Success,,1,,,
224,Flight(2012),Machine Learning Extracted Event,"He enters a cozy, fully furnished living room, and looks around.",0:47:09,0:47:17,,,8,,,64,Success,,1,,,
225,Flight(2012),Machine Learning Extracted Event,"A retro stereo sits on a cabinet, against a wall with framed photos.",0:47:13,0:47:21,,,8,,,68,Success,,1,,,
226,Flight(2012),Machine Learning Extracted Event,"His eye still covered by a bandage, looks around.",0:47:18,0:47:24,,,6,,,49,Success,,1,,,
227,Flight(2012),Machine Learning Extracted Event,"SOMEONE carries a plastic bag into the kitchen, and places it on a dining table.",0:47:30,0:47:38,,,8,,,80,Success,,1,,,
228,Flight(2012),Machine Learning Extracted Event,"He plugs in a charger, and checks his iPhone.",0:47:38,0:47:45,,,7,,,45,Fail,,0,,,
229,Flight(2012),Machine Learning Extracted Event,It shows 127 voice messages.,0:47:41,0:47:48,,,7,,,28,Fail,,0,,,
230,Flight(2012),Machine Learning Extracted Event,"He leans on a bureau, and pulls out a prescription bottle from his pocket.",0:47:54,0:48:01,,,7,,,74,Fail,,0,,,
231,Flight(2012),Machine Learning Extracted Event,"He glances at the pills, then, at a decanter of whiskey, and other liquor bottles near the stereo.",0:48:04,0:48:09,,,5,,,98,Fail,,0,,,
232,Flight(2012),Machine Learning Extracted Event,"He licks his lips, and clenches his jaw.",0:48:11,0:48:18,,,7,,,40,Fail,,0,,,
233,Flight(2012),Machine Learning Extracted Event,"Using a cane for support, he strides into the bathroom, and dumps the pills down the toilet.",0:48:18,0:48:25,,,7,,,92,Fail,,0,,,
234,Flight(2012),Machine Learning Extracted Event,"He collects the bottles of liquor and the decanter, and turns on the stereo.",0:48:24,0:48:32,,,8,,,76,Fail,,0,,,
235,Flight(2012),Machine Learning Extracted Event,"He empties the bottles in the sink, then dumps the empties in the garbage.",0:48:39,0:48:45,,,6,,,74,Fail,,0,,,
236,Flight(2012),Machine Learning Extracted Event,"He takes a case of Corona and some other beer cans from the fridge, and also drains them.",0:48:43,0:48:51,,,8,,,89,Fail,,0,,,
237,Flight(2012),Machine Learning Extracted Event,He dumps the cans in a bin.,0:48:55,0:49:00,,,5,,,27,Fail,,0,,,
238,Flight(2012),Machine Learning Extracted Event,"He takes a bag of marijuana from a wooden box in a drawer, and flushes it.",0:49:01,0:49:09,,,8,,,74,Fail,,0,,,
239,Flight(2012),Machine Learning Extracted Event,"He continues his chore with determination, as he moves from cabinet to cabinet, removing and tossing bottles and cans.",0:49:13,0:49:19,,,6,,,118,Fail,,0,,,
240,Flight(2012),Machine Learning Extracted Event,"He opens a freezer, and finds a bottle of vodka.",0:49:21,0:49:27,,,6,,,48,Fail,,0,,,
241,Flight(2012),Machine Learning Extracted Event,"He places his packet of money, wrapped in white paper labeled Veal, and removes the bottle. He pours it down the sink.",0:49:24,0:49:32,,,8,,,118,Fail,,0,,,
242,Flight(2012),Machine Learning Extracted Event,"He lifts the balding plastic trash bag out of the trash can, and carries it outside.",0:49:36,0:49:45,,,9,,,84,Fail,,0,,,
243,Flight(2012),Machine Learning Extracted Event,"He slides the doors of the shed open,",0:49:50,0:49:56,,,6,,,37,Fail,,0,,,
244,Flight(2012),Machine Learning Extracted Event,revealing a two seat Cessna plane in the small hangar.,0:49:52,0:49:59,,,7,,,54,Fail,,0,,,
245,Flight(2012),Machine Learning Extracted Event,"SOMEONE removes a blanket covering the windshield, and switches on the lights.",0:49:56,0:50:03,,,7,,,78,Fail,,0,,,
246,Flight(2012),Machine Learning Extracted Event,"He looks at a group of photos hanging above a workstation off to one side of the hanger,",0:50:06,0:50:14,,,8,,,88,Fail,,0,,,
247,Flight(2012),Machine Learning Extracted Event,"then takes a picture of a young African American boy, wedged in a frame.",0:50:11,0:50:18,,,7,,,72,Fail,,0,,,
248,Flight(2012),Machine Learning Extracted Event,He kisses the photograph.,0:50:15,0:50:20,,,5,,,25,Fail,,0,,,
249,Flight(2012),Machine Learning Extracted Event,"He pulls out a bottle of liquor from a bowling bag, and tosses it aside.",0:50:21,0:50:29,,,8,,,72,Fail,,0,,,
250,Flight(2012),Machine Learning Extracted Event,He holds a framed wedding photo of himself and his wife.,0:50:31,0:50:38,,,7,,,56,Fail,,0,,,
251,Flight(2012),Machine Learning Extracted Event,"Later that evening he sits, watching the news.",0:50:42,0:50:47,,,5,,,46,Fail,,0,,,
252,Flight(2012),Machine Learning Extracted Event,"SOMEONE stands at a table strewn with the pictures of the crash, as men in suits look on.",0:51:53,0:52:02,,,9,,,89,Fail,,0,,,
253,Flight(2012),Machine Learning Extracted Event,"The next morning, SOMEONE walks through the lobby of a hotel, cane in hand,",0:52:00,0:52:08,,,8,,,75,Fail,,0,,,
254,Flight(2012),Machine Learning Extracted Event,"the large eye patch gone, and now stitches remain above his eye.",0:52:04,0:52:12,,,8,,,64,Fail,,0,,,
255,Flight(2012),Machine Learning Extracted Event,"He enters a dining area with a buffet to one side, and approaches SOMEONE, seated with a man wearing glasses.",0:52:10,0:52:19,,,9,,,109,Fail,,0,,,
256,Flight(2012),Machine Learning Extracted Event,SOMEONE looks through a file.,0:54:38,0:54:44,,,6,,,29,Fail,,0,,,
257,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks at the piece of paper before him, narrows his eyes.",0:56:20,0:56:26,,,6,,,65,Fail,,0,,,
258,Flight(2012),Machine Learning Extracted Event,SOMEONE rises to leave.,0:56:50,0:56:55,,,5,,,23,Fail,,0,,,
259,Flight(2012),Machine Learning Extracted Event,He stops in the bar area.,0:56:55,0:57:01,,,6,,,25,Fail,,0,,,
260,Flight(2012),Machine Learning Extracted Event,A photo of SOMEONE appears on the TV behind the bar.,0:57:36,0:57:43,,,7,,,52,Fail,,0,,,
261,Flight(2012),Machine Learning Extracted Event,"SOMEONE sits at the bar and moves a cocktail napkin back and forth, As he studies the glass of vodka.",0:57:40,0:57:47,,,7,,,101,Fail,,0,,,
262,Flight(2012),Machine Learning Extracted Event,"He picks it up, and takes a drink.",0:57:46,0:57:51,,,5,,,34,Fail,,0,,,
263,Flight(2012),Machine Learning Extracted Event,"He smacks his lips, picks up the glass again, and drains the contents.",0:57:51,0:57:57,,,6,,,70,Fail,,0,,,
264,Flight(2012),Machine Learning Extracted Event,"Later, he sets a case of Budweiser in the passenger seat. He gets in the car and unscrews a gallon bottle of vodka.",0:58:01,0:58:08,,,7,,,115,Fail,,0,,,
265,Flight(2012),Machine Learning Extracted Event,He Looks around and drinks from the bottle.,0:58:08,0:58:13,,,5,,,43,Fail,,0,,,
266,Flight(2012),Machine Learning Extracted Event,He drives with groggy eyed.,0:58:16,0:58:21,,,5,,,27,Success,,1,,,
267,Flight(2012),Machine Learning Extracted Event,"SOMEONE drives down a street, beer can in hand.",0:58:19,0:58:24,,,5,,,47,Success,,1,,,
268,Flight(2012),Machine Learning Extracted Event,"He passes a dead-end street, and stops.",0:58:33,0:58:39,,,6,,,39,Success,,1,,,
269,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks away, then back at SOMEONE.",0:58:40,0:58:45,,,5,,,41,Success,,1,,,
270,Flight(2012),Machine Learning Extracted Event,"He watches, as SOMEONE loads items in the back of a car.",0:58:41,0:58:46,,,5,,,56,Success,,1,,,
271,Flight(2012),Machine Learning Extracted Event,"As she runs back through a worn fence,",0:58:43,0:58:49,,,6,,,38,Success,,1,,,
272,Flight(2012),Machine Learning Extracted Event,"SOMEONE pulls up to the apartment entrance, behind SOMEONE's car.",0:58:54,0:59:00,,,6,,,65,Success,,1,,,
273,Flight(2012),Machine Learning Extracted Event,"He passes the car with SOMEONE's things, and glances through a few enlarged photographs in a basket.",0:59:11,0:59:18,,,7,,,100,Success,,1,,,
274,Flight(2012),Machine Learning Extracted Event,He takes a sip from his beer and looks up.,0:59:17,0:59:23,,,6,,,42,Success,,1,,,
275,Flight(2012),Machine Learning Extracted Event,SOMEONE walks toward the apartment.,0:59:27,0:59:32,,,5,,,35,Success,,1,,,
276,Flight(2012),Machine Learning Extracted Event,SOMEONE pushes Fran to the floor.,0:59:43,0:59:48,,,5,,,33,Success,,1,,,
277,Flight(2012),Machine Learning Extracted Event,SOMEONE nods.,0:59:49,0:59:53,,,4,,,13,Success,,1,,,
278,Flight(2012),Machine Learning Extracted Event,SOMEONE takes out some money.,1:00:17,1:00:23,,,6,,,29,Success,,1,,,
279,Flight(2012),Machine Learning Extracted Event,SOMEONE looks at her for a moment.,1:00:47,1:00:53,,,6,,,34,Fail,,0,,,
280,Flight(2012),Machine Learning Extracted Event,"SOMEONE sits in the passenger seat of SOMEONE's car, as he drives and drinks his beer.",1:00:50,1:00:58,,,8,,,86,Fail,,0,,,
281,Flight(2012),Machine Learning Extracted Event,She bites her thumb.,1:00:55,1:01:00,,,5,,,20,Fail,,0,,,
282,Flight(2012),Machine Learning Extracted Event,"He offers SOMEONE a beer, and she refuses.",1:00:57,1:01:03,,,6,,,42,Fail,,0,,,
283,Flight(2012),Machine Learning Extracted Event,He lights a cigarette.,1:01:04,1:01:09,,,5,,,22,Fail,,0,,,
284,Flight(2012),Machine Learning Extracted Event,"She fidgets as she smiles to herself, and observes SOMEONE as he drives.",1:01:26,1:01:33,,,7,,,72,Fail,,0,,,
285,Flight(2012),Machine Learning Extracted Event,A cassette labeled Soul Funk No. 2 plays on the stereo.,1:01:37,1:01:44,,,7,,,55,Success,,1,,,
286,Flight(2012),Machine Learning Extracted Event,"As SOMEONE lies back with a pack of ice on his knee, he picks up a glass of whisky.",1:01:41,1:01:47,,,6,,,83,Success,,1,,,
287,Flight(2012),Machine Learning Extracted Event,"SOMEONE fresh from taking a shower, exits the bathroom.",1:01:44,1:01:53,,,9,,,55,Success,,1,,,
288,Flight(2012),Machine Learning Extracted Event,She picks up a cushion.,1:02:08,1:02:13,,,5,,,23,Success,,1,,,
289,Flight(2012),Machine Learning Extracted Event,"Carrying the pillow, she walks to SOMEONE, kneels down beside him, and removes the ice pack from his knee.",1:02:16,1:02:22,,,6,,,106,Success,,1,,,
290,Flight(2012),Machine Learning Extracted Event,"She lifts his leg, and places the cushion under it.",1:02:23,1:02:30,,,7,,,51,Success,,1,,,
291,Flight(2012),Machine Learning Extracted Event,She massages his knee.,1:02:32,1:02:38,,,6,,,22,Success,,1,,,
292,Flight(2012),Machine Learning Extracted Event,"SOMEONE is laid back in the armchair, watching as SOMEONE's hands move up to cover his hand. He raises the glass, as if to take a drink, but stops midway.",1:02:46,1:02:53,,,7,,,154,Success,,1,,,
293,Flight(2012),Machine Learning Extracted Event,"SOMEONE hesitates, her gaze steady on him.",1:02:49,1:02:56,,,7,,,42,Success,,1,,,
294,Flight(2012),Machine Learning Extracted Event,"She takes the glass from his hand, and sets it carefully on the nearby table.",1:02:59,1:03:07,,,8,,,77,Success,,1,,,
295,Flight(2012),Machine Learning Extracted Event,She pushes herself towards him.,1:03:06,1:03:10,,,4,,,31,Success,,1,,,
296,Flight(2012),Machine Learning Extracted Event,"They kiss. They look into each other's eyes, and their lips meet again.",1:03:17,1:03:24,,,7,,,71,Success,,1,,,
297,Flight(2012),Machine Learning Extracted Event,"The next morning, SOMEONE watches SOMEONE as she briefly stirs in her sleep.",1:03:32,1:03:39,,,7,,,76,Success,,1,,,
298,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks up, and rises off the bed.",1:03:42,1:03:49,,,7,,,40,Fail,,0,,,
299,Flight(2012),Machine Learning Extracted Event,SOMEONE gets out of a car.,1:03:50,1:03:55,,,5,,,26,Fail,,0,,,
300,Flight(2012),Machine Learning Extracted Event,"SOMEONE steps onto the veranda, holding his cane and a gun.",1:03:51,1:03:58,,,7,,,59,Fail,,0,,,
301,Flight(2012),Machine Learning Extracted Event,SOMEONE partially raises his hands.,1:03:58,1:04:04,,,6,,,35,Fail,,0,,,
302,Flight(2012),Machine Learning Extracted Event,SOMEONE and SOMEONE climb a platform near the church.,1:04:21,1:04:27,,,6,,,53,Fail,,0,,,
303,Flight(2012),Machine Learning Extracted Event,A small congregation listens to a sermon in a cordoned off area.,1:05:00,1:05:07,,,7,,,64,Fail,,0,,,
304,Flight(2012),Machine Learning Extracted Event,"SOMEONE takes a pair of binoculars, and watches a woman step out of a black SUV.",1:05:04,1:05:12,,,8,,,80,Fail,,0,,,
305,Flight(2012),Machine Learning Extracted Event,"SOMEONE watches, as reporters and officials wander around the wreckage.",1:05:52,1:06:00,,,8,,,71,Fail,,0,,,
306,Flight(2012),Machine Learning Extracted Event,SOMEONE clenches his jaw.,1:06:40,1:06:45,,,5,,,25,Fail,,0,,,
307,Flight(2012),Machine Learning Extracted Event,"SOMEONE stands at the far end of the large conference table, opposite SOMEONE.",1:07:56,1:08:04,,,8,,,78,Fail,,0,,,
308,Flight(2012),Machine Learning Extracted Event,"SOMEONE pushes through the double glass doors and walks towards SOMEONE, who stands.",1:09:57,1:10:05,,,8,,,84,Fail,,0,,,
309,Flight(2012),Machine Learning Extracted Event,SOMEONE forces a smile.,1:10:06,1:10:12,,,6,,,23,Fail,,0,,,
310,Flight(2012),Machine Learning Extracted Event,SOMEONE drinks straight from a whisky bottle.,1:10:14,1:10:20,,,6,,,45,Fail,,0,,,
311,Flight(2012),Machine Learning Extracted Event,He watches a home video of his father and son playing football.,1:10:23,1:10:30,,,7,,,63,Fail,,0,,,
312,Flight(2012),Machine Learning Extracted Event,SOMEONE walks in the door.,1:10:30,1:10:36,,,6,,,26,Fail,,0,,,
313,Flight(2012),Machine Learning Extracted Event,SOMEONE watches him.,1:11:00,1:11:05,,,5,,,20,Fail,,0,,,
314,Flight(2012),Machine Learning Extracted Event,He increases the volume on the TV.,1:11:13,1:11:19,,,6,,,34,Fail,,0,,,
315,Flight(2012),Machine Learning Extracted Event,SOMEONE has not moved since she walked in.,1:11:22,1:11:28,,,6,,,42,Fail,,0,,,
316,Flight(2012),Machine Learning Extracted Event,"She watches SOMEONE try to stand, and then fall.",1:11:25,1:11:31,,,6,,,48,Fail,,0,,,
317,Flight(2012),Machine Learning Extracted Event,He lies prone on the carpet.,1:11:31,1:11:36,,,5,,,28,Fail,,0,,,
318,Flight(2012),Machine Learning Extracted Event,SOMEONE covers her mouth with her hand.,1:11:33,1:11:39,,,6,,,39,Fail,,0,,,
319,Flight(2012),Machine Learning Extracted Event,SOMEONE has passed out.,1:11:47,1:11:52,,,5,,,23,Fail,,0,,,
320,Flight(2012),Machine Learning Extracted Event,"SOMEONE removes the cigarette from his fingers and adjusts his head, so he can breathe easily.",1:11:57,1:12:06,,,9,,,94,Fail,,0,,,
321,Flight(2012),Machine Learning Extracted Event,"SOMEONE covers SOMEONE with a blanket, then turns off the video and switches off the light.",1:12:31,1:12:37,,,6,,,91,Fail,,0,,,
322,Flight(2012),Machine Learning Extracted Event,"SOMEONE sits in a chair on the veranda, taking pictures.",1:12:45,1:12:52,,,7,,,56,Fail,,0,,,
323,Flight(2012),Machine Learning Extracted Event,SOMEONE steps out in a bathrobe.,1:12:49,1:12:55,,,6,,,32,Fail,,0,,,
324,Flight(2012),Machine Learning Extracted Event,He ambles toward her.,1:13:00,1:13:05,,,5,,,21,Fail,,0,,,
325,Flight(2012),Machine Learning Extracted Event,He sits in a rocking chair.,1:13:07,1:13:13,,,6,,,27,Fail,,0,,,
