EventID,MovieName,ExtractionType,EventDescription,Start,End,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Aligned_Event_Number,Comments,Normalised Video Clip Index,Normalised Plot Sentence Index
326,Flight(2012),Machine Learning Extracted Event,He smiles at her.,1:13:13,1:13:18,,,5,,,17,Fail,,0,,,
327,Flight(2012),Machine Learning Extracted Event,"He places a cigarette in his mouth, and picks up her camera.",1:13:28,1:13:35,,,7,,,60,Fail,,0,,,
328,Flight(2012),Machine Learning Extracted Event,He picks up a book from the coffee table between them.,1:13:44,1:13:51,,,7,,,54,Fail,,0,,,
329,Flight(2012),Machine Learning Extracted Event,He points to some open land.,1:14:13,1:14:18,,,5,,,28,Fail,,0,,,
330,Flight(2012),Machine Learning Extracted Event,SOMEONE puffs on her cigarette.,1:14:42,1:14:47,,,5,,,31,Fail,,0,,,
331,Flight(2012),Machine Learning Extracted Event,Points the camera at her.,1:15:23,1:15:28,,,5,,,25,Fail,,0,,,
332,Flight(2012),Machine Learning Extracted Event,"At a church, a large, framed picture of SOMEONE stands surrounded by flowers, as a coffin is carried out.",1:15:32,1:15:42,,,10,,,105,Success,,1,,,
333,Flight(2012),Machine Learning Extracted Event,"SOMEONE stands in a dark suit, and watches the procession pass.",1:15:38,1:15:45,,,7,,,63,Fail,,0,,,
334,Flight(2012),Machine Learning Extracted Event,A young boy touches SOMEONE's arm.,1:15:42,1:15:47,,,5,,,34,Fail,,0,,,
335,Flight(2012),Machine Learning Extracted Event,"SOMEONE turns around, and sees SOMEONE.",1:15:48,1:15:54,,,6,,,39,Fail,,0,,,
336,Flight(2012),Machine Learning Extracted Event,"He goes to her, and they hug.",1:15:54,1:16:00,,,6,,,29,Fail,,1,,,
337,Flight(2012),Machine Learning Extracted Event,"SOMEONE reaches for her son, and pulls him close.",1:16:06,1:16:13,,,7,,,49,Success,,1,,,
338,Flight(2012),Machine Learning Extracted Event,"Both watch, as Trevor goes off to find his dad.",1:16:35,1:16:41,,,6,,,47,Success,,1,,,
339,Flight(2012),Machine Learning Extracted Event,They hug again.,1:16:51,1:16:56,,,5,,,15,Success,,1,,,
340,Flight(2012),Machine Learning Extracted Event,"She looks at him, with tears in her eyes.",1:17:32,1:17:38,,,6,,,41,Success,,1,,,
341,Flight(2012),Machine Learning Extracted Event,"They stare at each other, unmoving.",1:18:35,1:18:41,,,6,,,35,Success,,1,,,
342,Flight(2012),Machine Learning Extracted Event,He wipes her tears with his thumb.,1:18:53,1:18:59,,,6,,,34,Success,,1,,,
343,Flight(2012),Machine Learning Extracted Event,"SOMEONE watches him, her brow creased and her eyes soft with sympathy.",1:19:19,1:19:25,,,6,,,70,Fail,,0,,,
344,Flight(2012),Machine Learning Extracted Event,"He kisses her, and leaves.",1:19:25,1:19:31,,,6,,,26,Fail,,0,,,
345,Flight(2012),Machine Learning Extracted Event,"SOMEONE leans against his car in a parking lot, and watches an airplane overhead.",1:19:32,1:19:40,,,8,,,81,Fail,,0,,,
346,Flight(2012),Machine Learning Extracted Event,SOMEONE approaches in quick strides.,1:19:36,1:19:42,,,6,,,36,Fail,,0,,,
347,Flight(2012),Machine Learning Extracted Event,She hands him a Zippo.,1:20:06,1:20:11,,,5,,,22,Fail,,0,,,
348,Flight(2012),Machine Learning Extracted Event,He sticks a cigarette in his mouth.,1:20:30,1:20:35,,,5,,,35,Fail,,0,,,
349,Flight(2012),Machine Learning Extracted Event,A man stands at a podium.,1:20:41,1:20:46,,,5,,,25,Fail,,0,,,
350,Flight(2012),Machine Learning Extracted Event,"SOMEONE sits, semi-slumped in a char.",1:21:04,1:21:10,,,6,,,37,Fail,,0,,,
351,Flight(2012),Machine Learning Extracted Event,"The majority in the room lift their hands, including SOMEONE.",1:21:19,1:21:26,,,7,,,61,Fail,,0,,,
352,Flight(2012),Machine Learning Extracted Event,"SOMEONE does not raise his hand, crosses his arms.",1:21:22,1:21:28,,,6,,,50,Fail,,0,,,
353,Flight(2012),Machine Learning Extracted Event,SOMEONE leaves.,1:22:15,1:22:20,,,5,,,15,Fail,,0,,,
354,Flight(2012),Machine Learning Extracted Event,"SOMEONE parks outside a bar, and walks in as his copilot, SOMEONE, appears on the news.",1:22:22,1:22:31,,,9,,,87,Fail,,0,,,
355,Flight(2012),Machine Learning Extracted Event,SOMEONE exits the bar.,1:22:46,1:22:52,,,6,,,22,Fail,,0,,,
356,Flight(2012),Machine Learning Extracted Event,"At the hospital, SOMEONE walks over to a private room, and peeps in.",1:22:51,1:22:57,,,6,,,68,Success,,1,,,
357,Flight(2012),Machine Learning Extracted Event,He taps his cane on the door frame.,1:22:53,1:22:59,,,6,,,35,Success,,1,,,
358,Flight(2012),Machine Learning Extracted Event,A nurse dresses SOMEONE's wounds.,1:22:58,1:23:04,,,6,,,33,Success,,1,,,
359,Flight(2012),Machine Learning Extracted Event,SOMEONE and SOMEONE look toward SOMEONE.,1:23:01,1:23:06,,,5,,,40,Success,,1,,,
360,Flight(2012),Machine Learning Extracted Event,SOMEONE turns to the nurse.,1:23:17,1:23:22,,,5,,,27,Success,,1,,,
361,Flight(2012),Machine Learning Extracted Event,SOMEONE's left leg lies in a brace.,1:23:24,1:23:30,,,6,,,35,Success,,1,,,
362,Flight(2012),Machine Learning Extracted Event,He closes the door.,1:23:29,1:23:34,,,5,,,19,Success,,1,,,
363,Flight(2012),Machine Learning Extracted Event,SOMEONE rises to leave.,1:25:36,1:25:41,,,5,,,23,Success,,1,,,
364,Flight(2012),Machine Learning Extracted Event,SOMEONE reaches for SOMEONE's hand.,1:26:33,1:26:38,,,5,,,35,Success,,1,,,
365,Flight(2012),Machine Learning Extracted Event,SOMEONE's eyes dart up and down.,1:26:35,1:26:40,,,5,,,32,Success,,1,,,
366,Flight(2012),Machine Learning Extracted Event,He takes SOMEONE's hand.,1:26:51,1:26:57,,,6,,,24,Fail,,0,,,
367,Flight(2012),Machine Learning Extracted Event,"Later, at SOMEONE's family farm, SOMEONE sees the lights on in the hangar.",1:26:58,1:27:04,,,6,,,74,Fail,,0,,,
368,Flight(2012),Machine Learning Extracted Event,"SOMEONE leans over the Cessna, still wearing his tie, his shirtsleeves rolled up.",1:27:03,1:27:10,,,7,,,81,Fail,,0,,,
369,Flight(2012),Machine Learning Extracted Event,"He jumps off the ladder and hustles over to SOMEONE, kissing her.",1:27:13,1:27:20,,,7,,,65,Fail,,0,,,
370,Flight(2012),Machine Learning Extracted Event,He sips his beer.,1:28:00,1:28:05,,,5,,,17,Success,,1,,,
371,Flight(2012),Machine Learning Extracted Event,She notices cocaine on a table.,1:28:03,1:28:09,,,6,,,31,Success,,1,,,
372,Flight(2012),Machine Learning Extracted Event,SOMEONE sits on the bed.,1:29:36,1:29:42,,,6,,,24,Success,,2,,,
373,Flight(2012),Machine Learning Extracted Event,"She ends a call, and continues packing her things in the bedroom.",1:29:39,1:29:46,,,7,,,65,Success,,2,,,
374,Flight(2012),Machine Learning Extracted Event,She ignores SOMEONE.,1:29:43,1:29:48,,,5,,,20,Success,,2,,,
375,Flight(2012),Machine Learning Extracted Event,"SOMEONE takes a large swig before setting the bottle on a table, and entering the bedroom.",1:29:50,1:29:58,,,8,,,90,Success,,2,,,
376,Flight(2012),Machine Learning Extracted Event,"SOMEONE walks past SOMEONE, raising a hand to her head before she sits on the bed.",1:30:27,1:30:33,,,6,,,82,Success,,2,,,
377,Flight(2012),Machine Learning Extracted Event,He sits next to her on the bed.,1:30:50,1:30:56,,,6,,,31,Success,,2,,,
378,Flight(2012),Machine Learning Extracted Event,She leans in and their foreheads touch.,1:31:10,1:31:15,,,5,,,39,Success,,1,,,
379,Flight(2012),Machine Learning Extracted Event,"He kisses her, and she allows him to pull her into an embrace.",1:31:25,1:31:32,,,7,,,62,Success,,1,,,
380,Flight(2012),Machine Learning Extracted Event,"In the morning, SOMEONE lies sleeping on the bed, fully dressed.",1:31:46,1:31:52,,,6,,,64,Success,,1,,,
381,Flight(2012),Machine Learning Extracted Event,SOMEONE stands at the bedroom entrance.,1:31:50,1:31:55,,,5,,,39,Success,,1,,,
382,Flight(2012),Machine Learning Extracted Event,"She leaves an envelope with SOMEONE's name on it, between his lighter and a bottle of whiskey.",1:31:56,1:32:04,,,8,,,94,Success,,1,,,
383,Flight(2012),Machine Learning Extracted Event,"She carries a suitcase and a basket, and walks away from the house.",1:32:16,1:32:23,,,7,,,67,Success,,1,,,
384,Flight(2012),Machine Learning Extracted Event,"SOMEONE's van is parked behind some trees, and SOMEONE puts her things in.",1:32:21,1:32:28,,,7,,,74,Success,,1,,,
385,Flight(2012),Machine Learning Extracted Event,The van drives off.,1:32:33,1:32:38,,,5,,,19,Success,,1,,,
386,Flight(2012),Machine Learning Extracted Event,He stops as he sees the envelope.,1:32:43,1:32:49,,,6,,,33,Fail,,0,,,
387,Flight(2012),Machine Learning Extracted Event,He trods over to the table and picks up the envelope.,1:32:45,1:32:52,,,7,,,53,Fail,,0,,,
388,Flight(2012),Machine Learning Extracted Event,He picks it up and opens it.,1:32:49,1:32:55,,,6,,,28,Fail,,0,,,
389,Flight(2012),Machine Learning Extracted Event,"He reads the letter, using the light from a nearby window.",1:32:59,1:33:06,,,7,,,58,Fail,,0,,,
390,Flight(2012),Machine Learning Extracted Event,"He picks up the bottle, and throws it hard across the room. It explodes against a hanging photo of his son.",1:33:02,1:33:09,,,7,,,107,Fail,,0,,,
391,Flight(2012),Machine Learning Extracted Event,"SOMEONE stares at it, motionless.",1:33:05,1:33:11,,,6,,,33,Fail,,0,,,
392,Flight(2012),Machine Learning Extracted Event,"Rain falls steadily as SOMEONE sits in the car and pours alcohol into a bottle of juice, and takes a drink.",1:33:21,1:33:30,,,9,,,107,Fail,,0,,,
393,Flight(2012),Machine Learning Extracted Event,"He exits the car, and enters a large hangar.",1:33:29,1:33:35,,,6,,,44,Fail,,0,,,
394,Flight(2012),Machine Learning Extracted Event,"The crashed South Jet aircraft stands almost completely assembled, with parts strewn around beside it.",1:33:42,1:33:51,,,9,,,102,Fail,,0,,,
395,Flight(2012),Machine Learning Extracted Event,Cabinets and shelves line one side of the building.,1:33:48,1:33:54,,,6,,,51,Fail,,0,,,
396,Flight(2012),Machine Learning Extracted Event,SOMEONE follows SOMEONE out of the plane.,1:33:51,1:33:56,,,5,,,41,Fail,,0,,,
397,Flight(2012),Machine Learning Extracted Event,SOMEONE Cocks his head.,1:35:21,1:35:26,,,5,,,23,Fail,,0,,,
398,Flight(2012),Machine Learning Extracted Event,SOMEONE turns and walks away.,1:36:48,1:36:54,,,6,,,29,Fail,,0,,,
399,Flight(2012),Machine Learning Extracted Event,"SOMEONE speeds down the mud road, splashing slush to the side.",1:37:06,1:37:13,,,7,,,62,Fail,,0,,,
400,Flight(2012),Machine Learning Extracted Event,He brakes when he sees news crews outside the farm house.,1:37:09,1:37:16,,,7,,,57,Fail,,0,,,
401,Flight(2012),Machine Learning Extracted Event,"Some reporters spot him, so he reverses and drives back onto the main road.",1:37:18,1:37:25,,,7,,,75,Fail,,0,,,
402,Flight(2012),Machine Learning Extracted Event,"He stops opposite a house in a quiet neighborhood, pulling up on the curb, barely missing a fire hydrant.",1:37:33,1:37:42,,,9,,,105,Success,,1,,,
403,Flight(2012),Machine Learning Extracted Event,He chugs on the bottle of juice.,1:37:45,1:37:50,,,5,,,32,Success,,1,,,
404,Flight(2012),Machine Learning Extracted Event,"He steps out of the car, and walks up a foot path to a house.",1:37:54,1:38:01,,,7,,,61,Success,,1,,,
405,Flight(2012),Machine Learning Extracted Event,"A man watches SOMEONE from a parked car, and speaks into his cell phone.",1:38:02,1:38:09,,,7,,,72,Success,,1,,,
406,Flight(2012),Machine Learning Extracted Event,SOMEONE's ex-wife opens the door.,1:38:12,1:38:18,,,6,,,33,Success,,1,,,
407,Flight(2012),Machine Learning Extracted Event,Her smile fades.,1:38:14,1:38:20,,,6,,,16,Success,,1,,,
408,Flight(2012),Machine Learning Extracted Event,SOMEONE hugs a struggling SOMEONE.,1:39:43,1:39:49,,,6,,,34,Fail,,0,,,
409,Flight(2012),Machine Learning Extracted Event,SOMEONE turns off the news.,1:40:33,1:40:38,,,5,,,27,Fail,,0,,,
410,Flight(2012),Machine Learning Extracted Event,SOMEONE lifts his arm.,1:41:53,1:41:58,,,5,,,22,Fail,,0,,,
411,Flight(2012),Machine Learning Extracted Event,"SOMEONE walks down a hotel corridor, with SOMEONE holding a can of Coca Cola.",1:41:57,1:42:05,,,8,,,77,Fail,,0,,,
412,Flight(2012),Machine Learning Extracted Event,They approach a burly man.,1:42:01,1:42:06,,,5,,,26,Fail,,0,,,
413,Flight(2012),Machine Learning Extracted Event,SOMEONE emerges from a room.,1:42:09,1:42:14,,,5,,,28,Success,,1,,,
414,Flight(2012),Machine Learning Extracted Event,SOMEONE enters the room.,1:42:28,1:42:33,,,5,,,24,Success,,1,,,
415,Flight(2012),Machine Learning Extracted Event,They shake hands.,1:43:26,1:43:31,,,5,,,17,Success,,1,,,
416,Flight(2012),Machine Learning Extracted Event,SOMEONE looks around the spacious room.,1:43:46,1:43:52,,,6,,,39,Success,,1,,,
417,Flight(2012),Machine Learning Extracted Event,"He picks up a can of coke, and goes over to the fridge.",1:43:56,1:44:02,,,6,,,55,Success,,1,,,
418,Flight(2012),Machine Learning Extracted Event,He finds it stocked with juices and non-alcoholic beverages.,1:44:04,1:44:12,,,8,,,60,Fail,,0,,,
419,Flight(2012),Machine Learning Extracted Event,"He eats a meal alone, in his room.",1:44:13,1:44:19,,,6,,,34,Fail,,0,,,
420,Flight(2012),Machine Learning Extracted Event,"He lies in bed, surfing channels on the TV.",1:44:22,1:44:28,,,6,,,43,Fail,,0,,,
421,Flight(2012),Machine Learning Extracted Event,He shaves.,1:44:40,1:44:45,,,5,,,10,Fail,,0,,,
422,Flight(2012),Machine Learning Extracted Event,"He tries to open the thick file SOMEONE left for him, and it spreads like an accordion.",1:44:48,1:44:56,,,8,,,87,Fail,,0,,,
423,Flight(2012),Machine Learning Extracted Event,He abandons it.,1:44:58,1:45:03,,,5,,,15,Fail,,0,,,
424,Flight(2012),Machine Learning Extracted Event,"He sits over the toilet, smoking as the bath fills.",1:45:08,1:45:15,,,7,,,51,Fail,,0,,,
425,Flight(2012),Machine Learning Extracted Event,The clock shows 2:08 a.m. as he hangs a suit in a wardrobe.,1:45:21,1:45:28,,,7,,,59,Fail,,0,,,
426,Flight(2012),Machine Learning Extracted Event,He looks around for the source of the knocking.,1:45:40,1:45:46,,,6,,,47,Fail,,0,,,
427,Flight(2012),Machine Learning Extracted Event,"Lying in bed, he's awakened by the same sound.",1:45:51,1:45:58,,,7,,,46,Fail,,0,,,
428,Flight(2012),Machine Learning Extracted Event,"He gets out of bed, and goes to a side door.",1:46:04,1:46:11,,,7,,,44,Success,,1,,,
429,Flight(2012),Machine Learning Extracted Event,"He holds his ear to it,",1:46:10,1:46:15,,,5,,,23,Success,,1,,,
430,Flight(2012),Machine Learning Extracted Event,then pulls it open.,1:46:15,1:46:20,,,5,,,19,Success,,1,,,
431,Flight(2012),Machine Learning Extracted Event,"The extended lock on a door leading to an adjoining room, bumps repeatedly against a door jam.",1:46:22,1:46:31,,,9,,,94,Success,,1,,,
432,Flight(2012),Machine Learning Extracted Event,SOMEONE enters the room.,1:46:30,1:46:36,,,6,,,24,Success,,1,,,
433,Flight(2012),Machine Learning Extracted Event,"A gentle breeze blows through the balcony doors, ruffling drawn curtains.",1:46:38,1:46:45,,,7,,,73,Fail,,0,,,
434,Flight(2012),Machine Learning Extracted Event,SOMEONE walks over and gazes at the skyline.,1:46:46,1:46:52,,,6,,,44,Fail,,0,,,
435,Flight(2012),Machine Learning Extracted Event,A plane's beacon lights flash in the night sky.,1:46:54,1:47:00,,,6,,,47,Fail,,0,,,
436,Flight(2012),Machine Learning Extracted Event,"SOMEONE turns around,",1:47:02,1:47:07,,,5,,,21,Success,,1,,,
437,Flight(2012),Machine Learning Extracted Event,and his eyes fall on a fridge.,1:47:03,1:47:09,,,6,,,30,Success,,1,,,
438,Flight(2012),Machine Learning Extracted Event,He opens the door to reveal rows of miniature bottles of alcohol on the shelves.,1:47:23,1:47:31,,,8,,,80,Success,,1,,,
439,Flight(2012),Machine Learning Extracted Event,SOMEONE squats and looks over the array of spirits.,1:47:34,1:47:40,,,6,,,51,Success,,1,,,
440,Flight(2012),Machine Learning Extracted Event,He settles for vodka.,1:47:46,1:47:51,,,5,,,21,Success,,1,,,
441,Flight(2012),Machine Learning Extracted Event,"Still kneeling, he unscrews the top from the bottle, and runs his fingers over the cold surface of the glass.",1:47:58,1:48:06,,,8,,,109,Success,,1,,,
442,Flight(2012),Machine Learning Extracted Event,He brings the bottle to his nose.,1:48:07,1:48:13,,,6,,,33,Success,,1,,,
443,Flight(2012),Machine Learning Extracted Event,"He replaces the cap, then slowly stands up and sets the bottle on top of the fridge.",1:48:21,1:48:29,,,8,,,84,Success,,1,,,
444,Flight(2012),Machine Learning Extracted Event,"He closes the fridge door, and walks away.",1:48:32,1:48:38,,,6,,,42,Success,,1,,,
445,Flight(2012),Machine Learning Extracted Event,SOMEONE swoops up the bottle.,1:48:50,1:48:56,,,6,,,29,Fail,,0,,,
446,Flight(2012),Machine Learning Extracted Event,"SOMEONE exits an elevator, carrying three coffees.",1:48:54,1:49:01,,,7,,,50,Success,,1,,,
447,Flight(2012),Machine Learning Extracted Event,SOMEONE follows.,1:48:57,1:49:02,,,5,,,16,Success,,1,,,
448,Flight(2012),Machine Learning Extracted Event,The men look at each other.,1:49:07,1:49:12,,,5,,,27,Success,,1,,,
449,Flight(2012),Machine Learning Extracted Event,SOMEONE checks the time.,1:49:22,1:49:27,,,5,,,24,Success,,1,,,
450,Flight(2012),Machine Learning Extracted Event,Bottles lie everywhere.,1:49:33,1:49:38,,,5,,,23,Success,,1,,,
451,Flight(2012),Machine Learning Extracted Event,"SOMEONE lies face down in the bathroom, a large blood stain on the toilet.",1:49:45,1:49:52,,,7,,,74,Success,,1,,,
452,Flight(2012),Machine Learning Extracted Event,"SOMEONE arrives, a bag slung over his shoulder.",1:50:35,1:50:41,,,6,,,47,Success,,1,,,
453,Flight(2012),Machine Learning Extracted Event,"SOMEONE jumps back, and SOMEONE raises his hands.",1:50:53,1:50:59,,,6,,,49,Success,,1,,,
454,Flight(2012),Machine Learning Extracted Event,SOMEONE gestures to SOMEONE.,1:50:58,1:51:04,,,6,,,28,Success,,1,,,
455,Flight(2012),Machine Learning Extracted Event,SOMEONE clears the table.,1:51:15,1:51:20,,,5,,,25,Success,,1,,,
456,Flight(2012),Machine Learning Extracted Event,SOMEONE sits beside SOMEONE.,1:51:26,1:51:31,,,5,,,28,Success,,1,,,
457,Flight(2012),Machine Learning Extracted Event,He cuts the coke.,1:51:51,1:51:55,,,4,,,17,Success,,1,,,
458,Flight(2012),Machine Learning Extracted Event,SOMEONE smiles up at SOMEONE.,1:52:04,1:52:10,,,6,,,29,Success,,1,,,
459,Flight(2012),Machine Learning Extracted Event,"A torn piece of toilet paper, with a spot of blood, hangs over his eye.",1:52:06,1:52:14,,,8,,,71,Success,,1,,,
460,Flight(2012),Machine Learning Extracted Event,SOMEONE fetches the water.,1:52:18,1:52:23,,,5,,,26,Success,,1,,,
461,Flight(2012),Machine Learning Extracted Event,SOMEONE prepares the cigarette.,1:52:25,1:52:31,,,6,,,31,Success,,1,,,
462,Flight(2012),Machine Learning Extracted Event,SOMEONE drinks.,1:52:33,1:52:37,,,4,,,15,Success,,1,,,
463,Flight(2012),Machine Learning Extracted Event,"SOMEONE sucks on the cigarette, and hands it to SOMEONE.",1:52:41,1:52:47,,,6,,,56,Success,,1,,,
464,Flight(2012),Machine Learning Extracted Event,SOMEONE cuts more lines of coke.,1:52:57,1:53:03,,,6,,,32,Success,,1,,,
465,Flight(2012),Machine Learning Extracted Event,"SOMEONE snorts a line,",1:53:06,1:53:11,,,5,,,22,Success,,1,,,
466,Flight(2012),Machine Learning Extracted Event,and offers a hit to SOMEONE and SOMEONE.,1:53:10,1:53:16,,,6,,,40,Success,,1,,,
467,Flight(2012),Machine Learning Extracted Event,SOMEONE nods.,1:53:23,1:53:28,,,5,,,13,Success,,1,,,
468,Flight(2012),Machine Learning Extracted Event,SOMEONE enters the bathroom.,1:53:37,1:53:43,,,6,,,28,Success,,1,,,
469,Flight(2012),Machine Learning Extracted Event,SOMEONE puts on his shades.,1:54:10,1:54:15,,,5,,,27,Success,,1,,,
470,Flight(2012),Machine Learning Extracted Event,"SOMEONE strides out the room wearing sunglasses,",1:54:17,1:54:23,,,6,,,48,Fail,,0,,,
471,Flight(2012),Machine Learning Extracted Event,"a band aid on his forehead, and dressed in a suit.",1:54:20,1:54:26,,,6,,,50,Fail,,0,,,
472,Flight(2012),Machine Learning Extracted Event,SOMEONE and SOMEONE follow behind him.,1:54:22,1:54:28,,,6,,,38,Fail,,0,,,
473,Flight(2012),Machine Learning Extracted Event,They enter an elevator with a woman and a little girl.,1:54:30,1:54:37,,,7,,,54,Fail,,0,,,
474,Flight(2012),Machine Learning Extracted Event,"The girl stares at SOMEONE as SOMEONE hands him a handkerchief,",1:54:38,1:54:45,,,7,,,63,Fail,,0,,,
475,Flight(2012),Machine Learning Extracted Event,"He tilts his head back, and presses the cloth to his nostril. He removes his glasses, and looks at his reflection on the elevator ceiling.",1:54:50,1:54:56,,,6,,,138,Fail,,0,,,
476,Flight(2012),Machine Learning Extracted Event,He lowers his gaze to the little girl.,1:54:58,1:55:04,,,6,,,38,Fail,,0,,,
477,Flight(2012),Machine Learning Extracted Event,"In the hearing room, cell phone footage of the plane crash is played on a large screen.",1:55:20,1:55:28,,,8,,,87,Fail,,0,,,
478,Flight(2012),Machine Learning Extracted Event,The cell phone footage ends.,1:55:35,1:55:41,,,6,,,28,Fail,,0,,,
479,Flight(2012),Machine Learning Extracted Event,SOMEONE shifts in his seat.,1:57:29,1:57:34,,,5,,,27,Fail,,0,,,
480,Flight(2012),Machine Learning Extracted Event,SOMEONE Sips some water.,1:58:34,1:58:39,,,5,,,24,Fail,,0,,,
481,Flight(2012),Machine Learning Extracted Event,SOMEONE presses a remote.,1:58:41,1:58:46,,,5,,,25,Fail,,0,,,
482,Flight(2012),Machine Learning Extracted Event,She rises and walks around the table at the head of the room.,1:58:51,1:58:58,,,7,,,61,Fail,,0,,,
483,Flight(2012),Machine Learning Extracted Event,She projects an image on two giant screens.,1:58:58,1:59:04,,,6,,,43,Fail,,0,,,
484,Flight(2012),Machine Learning Extracted Event,SOMEONE faces SOMEONE in the middle of the room.,1:59:50,1:59:56,,,6,,,48,Fail,,0,,,
485,Flight(2012),Machine Learning Extracted Event,"SOMEONE slips on her glasses and checks her notes, as SOMEONE glances at SOMEONE and SOMEONE.",2:01:06,2:01:14,,,8,,,93,Fail,,0,,,
486,Flight(2012),Machine Learning Extracted Event,The evidence appears onscreen.,2:01:31,2:01:37,,,6,,,30,Fail,,0,,,
487,Flight(2012),Machine Learning Extracted Event,"SOMEONE nods, and leafs through a file.",2:02:19,2:02:25,,,6,,,39,Fail,,0,,,
488,Flight(2012),Machine Learning Extracted Event,SOMEONE and SOMEONE share a glance.,2:03:03,2:03:09,,,6,,,35,Fail,,0,,,
489,Flight(2012),Machine Learning Extracted Event,SOMEONE gazes at an enlarged photograph of SOMEONE on the screen.,2:03:16,2:03:23,,,7,,,65,Success,,1,,,
490,Flight(2012),Machine Learning Extracted Event,"SOMEONE rolls his tongue, and looks briefly at SOMEONE and SOMEONE.",2:03:35,2:03:42,,,7,,,67,Success,,1,,,
491,Flight(2012),Machine Learning Extracted Event,SOMEONE studies SOMEONE's smiling face with pressed lips.,2:04:04,2:04:11,,,7,,,57,Success,,1,,,
492,Flight(2012),Machine Learning Extracted Event,He takes a sip of water.,2:04:11,2:04:16,,,5,,,24,Success,,1,,,
493,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks firmly at SOMEONE, his face shiny with perspiration.",2:05:25,2:05:32,,,7,,,66,Fail,,0,,,
494,Flight(2012),Machine Learning Extracted Event,"SOMEONE looks down, his eyes heavy.",2:05:34,2:05:39,,,5,,,35,Fail,,0,,,
495,Flight(2012),Machine Learning Extracted Event,"SOMEONE closes her file, and slowly walks to her seat.",2:06:04,2:06:09,,,5,,,54,Fail,,0,,,
496,Flight(2012),Machine Learning Extracted Event,"A year later, SOMEONE sits facing a group of inmates in an Alcoholics Anonymous meeting.",2:06:15,2:06:22,,,7,,,88,Fail,,0,,,
497,Flight(2012),Machine Learning Extracted Event,Some inmates smile.,2:07:11,2:07:16,,,5,,,19,Success,,1,,,
498,Flight(2012),Machine Learning Extracted Event,He shuts his eyes.,2:08:34,2:08:39,,,5,,,18,Success,,1,,,
499,Flight(2012),Machine Learning Extracted Event,A smile plays on his lips.,2:09:06,2:09:12,,,6,,,26,Success,,1,,,
500,Flight(2012),Machine Learning Extracted Event,"SOMEONE sits, writing at his desk in his cell.",2:09:25,2:09:32,,,7,,,46,Fail,,0,,,
501,Flight(2012),Machine Learning Extracted Event,"A board hangs above the desk, covered in photographs and cards.",2:09:28,2:09:34,,,6,,,63,Fail,,0,,,
502,Flight(2012),Machine Learning Extracted Event,"SOMEONE closes a bound book, and tosses his glasses on it.",2:09:42,2:09:49,,,7,,,58,Fail,,0,,,
503,Flight(2012),Machine Learning Extracted Event,"Photos of SOMEONE and SOMEONE, standing next to a Christmas tree.",2:09:46,2:09:52,,,6,,,65,Fail,,0,,,
504,Flight(2012),Machine Learning Extracted Event,"In between the photos, hangs a copy of the serenity prayer.",2:10:04,2:10:09,,,5,,,59,Fail,,0,,,
505,Flight(2012),Machine Learning Extracted Event,"a guard punches in a code and a wire gate opens, letting SOMEONE through.",2:10:12,2:10:17,,,5,,,73,Fail,,0,,,
506,Flight(2012),Machine Learning Extracted Event,"SOMEONE smiles as he walks towards SOMEONE, seated at a desk.",2:10:17,2:10:22,,,5,,,61,Fail,,0,,,
507,Flight(2012),Machine Learning Extracted Event,They hug.,2:10:24,2:10:28,,,4,,,9,Success,,1,,,
508,Flight(2012),Machine Learning Extracted Event,They're seated at a table.,2:10:49,2:10:54,,,5,,,26,Success,,1,,,
509,Flight(2012),Machine Learning Extracted Event,SOMEONE opens a writing pad.,2:11:20,2:11:25,,,5,,,28,Success,,1,,,
510,Flight(2012),Machine Learning Extracted Event,"SOMEONE shifts, his hands resting on the table.",2:11:22,2:11:27,,,5,,,47,Success,,1,,,
511,Flight(2012),Machine Learning Extracted Event,he lowers his eyes.,2:11:25,2:11:30,,,5,,,19,Fail,,0,,,
512,Flight(2012),Machine Learning Extracted Event,SOMEONE turns on his cell phone recorder.,2:11:34,2:11:40,,,6,,,41,Fail,,0,,,
513,Flight(2012),Machine Learning Extracted Event,"SOMEONE's brow furrows, then he smiles.",2:11:43,2:11:48,,,5,,,39,Fail,,0,,,
